YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,MAM,JJA,SON,DJF,ANN
1988,17.9,20.2,23.5,27.6,30.2,28.8,26.5,26.2,26.2,24.3,20.5,17.9,27.1,27.2,23.7,17.6,24.1
1989,16.2,18.7,22.8,26.9,29.5,28.0,26.5,25.9,25.9,24.4,20.8,17.2,26.4,26.8,23.7,18.1,23.6
1990,18.0,19.2,22.3,26.9,28.7,28.2,26.2,26.1,25.8,23.8,21.2,17.9,26.0,26.8,23.6,18.0,23.7
1991,16.4,19.6,23.7,26.8,29.5,28.3,27.1,25.9,26.0,24.2,20.5,17.3,26.6,27.1,23.5,17.3,23.8
1992,16.6,18.1,23.5,27.0,28.8,29.2,27.1,25.9,25.5,24.2,20.6,17.4,26.4,27.4,23.4,18.1,23.6
1993,17.1,19.8,22.3,26.8,29.5,29.2,26.8,26.4,25.7,24.6,21.0,17.6,26.2,27.5,23.8,18.0,23.9
1994,17.6,18.8,24.3,26.5,29.8,28.6,26.2,25.9,25.7,24.1,20.6,17.3,26.9,26.9,23.5,17.5,23.8
1995,15.8,19.3,22.8,26.7,29.3,29.9,27.0,26.4,26.1,24.9,20.9,17.9,26.3,27.8,23.9,18.3,23.9
1996,17.4,19.6,24.5,27.2,29.6,28.7,27.0,25.7,26.0,24.0,20.6,17.4,27.1,27.1,23.5,17.4,24.0
1997,16.3,18.5,23.5,25.7,28.5,28.4,27.1,26.2,25.8,23.6,21.1,17.3,25.9,27.2,23.5,18.0,23.5
1998,17.1,19.6,22.8,27.6,30.2,29.7,27.1,26.6,26.3,25.1,21.3,17.6,26.9,27.8,24.2,18.2,24.3
1999,16.6,20.3,24.3,28.3,29.1,28.3,26.7,26.2,26.1,24.7,21.4,17.9,27.2,27.1,24.1,17.9,24.2
2000,17.4,18.5,22.9,28.2,29.3,28.1,26.6,26.4,26.0,25.3,21.6,17.9,26.8,27.0,24.3,18.4,24.0
2001,17.2,20.1,23.7,27.1,29.7,27.8,26.6,26.4,26.6,25.0,21.7,18.4,26.8,26.9,24.4,18.4,24.2
2002,17.1,19.7,24.2,28.1,30.2,28.9,27.7,26.2,25.8,24.9,21.3,18.6,27.5,27.6,24.0,18.5,24.4
2003,17.2,19.8,23.4,28.0,29.5,29.5,26.7,26.4,25.9,24.6,21.4,17.8,26.9,27.5,24.0,18.1,24.2
2004,17.0,19.5,25.3,28.3,29.3,28.2,27.2,26.2,26.5,24.0,21.2,18.4,27.6,27.2,23.9,18.3,24.3
2005,17.1,19.5,24.0,27.0,28.9,29.8,26.8,26.6,26.2,24.4,20.6,17.4,26.7,27.7,23.7,18.8,24.0
2006,17.6,21.3,23.4,27.0,29.7,28.6,27.0,26.2,26.2,25.1,21.5,18.5,26.7,27.3,24.3,18.6,24.3
2007,17.6,19.7,23.6,28.3,29.8,28.8,27.1,26.6,26.3,24.6,21.4,18.1,27.2,27.5,24.1,17.9,24.3
2008,17.2,18.4,24.4,27.2,29.4,28.0,26.8,26.0,26.0,24.9,21.6,19.2,27.0,26.9,24.2,19.6,24.1
2009,18.5,21.0,24.5,28.1,29.9,29.7,27.3,27.1,26.6,24.8,21.4,18.6,27.5,28.0,24.3,18.7,24.8
